SalesID,CustomerID,DrugID,Quantity,SaleDate,Revenue,Profit
S001,C025,D005,239,5/9/2023,2868.00,6
S002,C042,D030,463,5/10/2023,8334.00,9
S003,C002,D008,404,11/9/2023,14140.00,15
S004,C022,D006,57,7/19/2023,2736.00,18
S005,C025,D023,84,11/30/2023,4620.00,20
S006,C007,D008,110,2/12/2023,1100.00,5
S007,C010,D037,249,4/21/2023,4980.00,10
S008,C060,D024,211,6/15/2023,4642.00,10
S009,C015,D034,485,12/29/2023,8730.00,8
S010,C053,D027,304,5/7/2023,1520.00,2
S011,C017,D026,126,4/19/2023,1008.00,4
S012,C004,D040,117,6/5/2023,1404.00,6
S013,C003,D011,303,11/24/2023,7575.00,10
S014,C012,D019,395,3/1/2023,11850.00,12
S015,C059,D027,236,6/16/2023,35400.00,50
S016,C018,D003,140,10/15/2023,1680.00,6
S017,C006,D013,224,1/17/2023,7840.00,13
S018,C018,D020,117,8/15/2023,3510.00,12
S019,C030,D003,166,5/3/2023,2490.00,7
S020,C007,D006,104,11/27/2023,624.00,3
S021,C001,D012,360,10/14/2023,4680.00,8
S022,C009,D037,60,3/29/2023,1080.00,13
S023,C029,D014,222,3/8/2023,5328.00,12
S024,C023,D040,245,4/23/2023,12740.00,22
S025,C060,D038,129,8/18/2023,4386.00,16
S026,C050,D038,345,5/16/2023,3450.00,6
S027,C052,D036,398,6/21/2023,19900.00,20
S028,C053,D005,434,6/25/2023,22568.00,22
S029,C047,D033,56,9/21/2023,1232.00,12
S030,C031,D014,54,5/16/2023,1458.00,17
S031,C053,D030,158,10/4/2023,1738.00,6
S032,C055,D019,230,12/2/2023,5750.00,15
S033,C028,D016,251,5/17/2023,7279.00,19
S034,C012,D024,85,7/8/2023,1955.00,14
S035,C059,D007,237,7/18/2023,9006.00,20
S036,C026,D020,418,5/1/2023,10032.00,15
S037,C032,D017,493,3/12/2023,6902.00,9
S038,C048,D023,392,5/31/2023,12936.00,15
S039,C026,D020,237,5/13/2023,8058.00,16
S040,C060,D027,395,1/4/2023,14220.00,16
