SalesID,CustomerID,DrugID,Quantity,SaleDate
S001,C025,D005,239,5/9/2024
S002,C042,D030,463,5/10/2024
S003,C002,D008,404,11/9/2024
S004,C022,D006,57,7/19/2024
S005,C025,D023,84,11/30/2024
S006,C007,D008,110,2/12/2024
S007,C010,D037,249,4/21/2024
S008,C060,D024,211,6/15/2024
S009,C015,D034,485,12/29/2024
S010,C053,D027,304,5/7/2024
S011,C017,D026,126,4/19/2024
S012,C004,D040,117,6/5/2024
S013,C003,D011,303,11/24/2024
S014,C012,D019,395,3/1/2024
S015,C059,D027,236,6/16/2024
S016,C018,D003,140,10/15/2024
S017,C006,D013,224,1/17/2024
S018,C018,D020,117,8/15/2024
S019,C030,D003,166,5/3/2024
S020,C007,D006,104,11/27/2024
S021,C001,D012,360,10/14/2024
S022,C009,D037,60,3/29/2024
S023,C029,D014,222,3/8/2024
S024,C023,D040,245,4/23/2024
S025,C060,D038,129,8/18/2024
S026,C050,D038,345,5/16/2024
S027,C052,D036,398,6/21/2024
S028,C053,D005,434,6/25/2024
S029,C047,D033,56,9/21/2024
S030,C031,D014,54,5/16/2024
S031,C053,D030,158,10/4/2024
S032,C055,D019,230,12/2/2024
S033,C028,D016,251,5/17/2024
S034,C012,D024,85,7/8/2024
S035,C059,D007,237,7/18/2024
S036,C026,D020,418,5/1/2024
S037,C032,D017,493,3/12/2024
S038,C048,D023,392,5/31/2024
S039,C026,D020,237,5/13/2024
S040,C060,D027,395,1/4/2024
S041,C006,D019,392,11/30/2024
S042,C049,D007,482,5/18/2024
S043,C060,D038,310,7/15/2024
S044,C016,D009,226,8/20/2024
S045,C033,D010,99,2/11/2024
S046,C029,D011,289,12/7/2024
S047,C006,D029,102,9/17/2024
S048,C022,D016,141,12/16/2024
S049,C016,D017,492,9/22/2024
S050,C025,D025,487,5/15/2024
S051,C044,D015,348,7/14/2024
S052,C020,D017,291,8/3/2024
S053,C051,D032,52,5/1/2024
S054,C008,D008,77,5/4/2024
S055,C048,D026,144,12/29/2024
S056,C049,D019,82,4/10/2024
S057,C051,D014,300,8/5/2024
S058,C048,D033,418,5/11/2024
S059,C036,D021,313,12/10/2024
S060,C028,D007,156,6/16/2024
S061,C012,D039,473,9/17/2024
S062,C042,D034,133,7/29/2024
S063,C026,D026,72,1/8/2024
S064,C018,D027,86,6/20/2024
S065,C057,D032,172,6/27/2024
S066,C047,D018,301,9/10/2024
S067,C057,D014,398,5/10/2024
S068,C025,D035,192,5/7/2024
S069,C048,D031,356,7/13/2024
S070,C027,D031,71,9/21/2024
S071,C043,D022,94,9/22/2024
S072,C042,D009,95,2/15/2024
S073,C060,D007,425,10/7/2024
S074,C014,D028,194,5/12/2024
S075,C010,D005,82,2/21/2024
S076,C044,D002,77,7/23/2024
S077,C047,D017,402,7/1/2024
S078,C006,D019,416,3/5/2024
S079,C060,D003,322,3/4/2024
S080,C024,D005,120,3/25/2024
S081,C050,D033,479,10/5/2024
S082,C050,D025,454,5/31/2024
S083,C033,D002,195,6/11/2024
S084,C047,D010,168,6/29/2024
S085,C058,D021,57,12/8/2024
S086,C025,D029,260,6/3/2024
S087,C042,D004,191,2/25/2024
S088,C041,D014,361,6/5/2024
S089,C004,D031,471,5/9/2024
S090,C034,D013,226,2/21/2024
S091,C039,D010,309,11/19/2024
S092,C060,D024,307,7/28/2024
S093,C044,D008,338,4/23/2024
S094,C037,D009,232,7/13/2024
S095,C003,D030,225,5/27/2024
S096,C023,D021,119,3/6/2024
S097,C001,D015,98,9/18/2024
S098,C026,D005,422,3/21/2024
S099,C008,D027,70,8/5/2024
S100,C027,D013,156,9/24/2024
S101,C039,D006,400,1/16/2024
S102,C032,D037,236,10/10/2024
S103,C035,D008,51,12/4/2024
S104,C012,D011,227,11/18/2024
S105,C003,D016,373,2/4/2024
S106,C008,D031,475,4/29/2024
S107,C030,D016,117,10/15/2024
S108,C013,D037,311,5/15/2024
S109,C013,D040,187,3/10/2024
S110,C025,D006,489,7/4/2024
S111,C014,D025,108,4/30/2024
S112,C003,D038,346,3/25/2024
S113,C023,D021,290,3/14/2024
S114,C047,D017,373,11/22/2024
S115,C055,D040,246,10/31/2024
S116,C031,D020,223,1/29/2024
S117,C059,D030,288,5/3/2024
